name,alt_standard_price,default_code,profit_margin_1,profit_margin_2,profit_margin_3,profit_margin_4,freight_1,freight_2,freight_3,freight_4
Motor evaporador 9000-12000btu 220v 16w ccw,0,06240031,"0,75","0,8","0,85","0,86","0,9","0,9","0,9","0,9"
Motor evaporador universal 220v 18w ccw,"14,9",06240038,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor evaporador universal 220v 20w cw,"18,26",06240033,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor evaporador universal 220v 22w cw,"17,2",06240034,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor evaporador universal 220v 26w cw,19,06240035,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor evaporador universal 220v 28w ccw,"15,45",06240040,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor evaporador universal 220v 30w ccw,"18,78",06240042,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor ip-21 1/3 hp 110v - 220v ph1 1800 r.p.m. fr48c,60,13320013,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ip-21 4 polos 1 1/2 hp 110v - 220v ph1 1800 r.p.m. fr56f,103,13320015,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ip-23 4 polos 3 hp 110v - 220v ph1 1800 r.p.m. frame 184t us motors,490,13320017,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor jet pump 1/3 hp 3450 r.p.m. 110 - 220v magnetek fr k56j,"55,53",13180060,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor jet pump 2 hp 220v 1800 r.p.m. eberle,215,13180057,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor rural ip-55 2 polos 5 hp 220v ph1 3600 r.p.m. fr112m,218,13320027,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor rural ip-55 5 hp 220v ph3 1800 r.p.m. b100l4,403,13320028,"0,7","0,75","0,8","0,81","0,9","0,9","0,9","0,9"
Motor ventana cortina 2 ejes 150 cm 115v,"20,25",06240070,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor ventilador con turbina fiat palio 2000 - 2006,"19,21",01580002,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina fiat uno 1996 - 2005,"22,28",01580004,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina fiat uno fire,"22,28",01580005,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
