id,default_code,alt_standard_price,pricelist_item_type_1_margin,pricelist_item_type_2_margin,pricelist_item_type_3_margin,pricelist_item_type_4_margin,pricelist_item_type_5_margin,pricelist_item_type_1_freight,pricelist_item_type_2_freight,pricelist_item_type_3_freight,pricelist_item_type_4_freight,pricelist_item_type_5_freight
__export__.product_product_7083_56e2ebc1,12090004,"11,91","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7084_015779c1,12090005,"15,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7085_d78e79be,12090006,"26,24","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7086_2729c887,12090011,"6,52","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7087_f4d147a7,12090012,"7,88","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7088_be97544b,12090013,"8,53","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7089_dd83a474,12090014,"10,37","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7090_54c09b19,12090015,"16,42","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7091_ce4bbed2,12090016,"21,34","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7092_4dfd6a54,12090018,"0,00","0,00","0,00","0,00","0,00","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7093_28de5a7f,12090021,"5,90","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7094_0f570969,12090022,"0,00","0,00","0,00","0,00","0,00","0,00","0,90","0,90","0,90","0,90","0,00"
__export__.product_product_7095_6a8aba70,12090023,"0,00","0,00","0,00","0,00","0,00","0,00","0,90","0,90","0,90","0,90","0,00"
__export__.product_product_7096_d91b6023,12090024,"0,00","0,00","0,00","0,00","0,00","0,00","0,90","0,90","0,90","0,90","0,00"
__export__.product_product_7097_8abd8dad,12090025,"0,00","0,00","0,00","0,00","0,00","0,00","0,90","0,90","0,90","0,90","0,00"
__export__.product_product_7098_1a7ea212,12090026,"20,08","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7099_ed148970,12100001,"0,75","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7100_cfccede7,12100002,"1,50","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7101_b2513f56,12100003,"3,82","0,75","0,75","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7102_7912aba2,12100006,"29,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7103_b1c7cb3a,12100007,"2,97","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7104_b8e6d8df,12100008,"0,00","0,70","0,75","0,80","0,81","0,00","0,90","0,90","0,90","0,90","0,00"
__export__.product_product_7105_c431eed0,12100011,"10,50","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7106_f6bf231b,12100012,"10,50","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7107_0cc5dcac,12100013,"14,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7108_4e77aea8,12100014,"5,18","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7109_35acfe62,12100015,"5,18","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7110_86787e20,12100016,"5,42","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7111_1ae017e7,12100017,"6,80","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7112_4d6e943e,12100018,"14,78","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7113_490a38d3,12100019,"14,78","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7114_8c625cfb,12100021,"7,98","0,70","0,75","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7115_9338cc64,12100022,"4,91","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7116_421bd3a4,12100023,"1,50","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7117_95e9a6bf,12100024,"1,72","0,82","0,82","0,92","0,93","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7118_5a68f0c3,12100025,"1,73","0,82","0,82","0,92","0,93","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7119_b46a7a21,12100026,"1,73","0,82","0,82","0,92","0,93","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7120_5f7481e5,12100028,"12,50","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7121_c7181079,12100032,"8,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7122_dabd0c55,12100033,"12,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7123_be67a5d7,12100034,"9,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7124_339e1b68,12100038,"4,21","0,80","0,80","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7125_4505463b,12100039,"4,21","0,80","0,80","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7126_d3e2d2e5,12100041,"1,50","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7127_779837eb,12100042,"4,32","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7128_bea1dcee,12100043,"45,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7129_9e6cfe03,12100044,"55,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7130_d9a82c50,12100045,"2,18","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7131_2d6669a0,12100046,"23,00","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7132_958a147f,12100047,"890,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7133_617a30bb,12100049,"1,72","0,82","0,82","0,91","0,92","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7134_708d36d3,12100050,"0,79","0,73","0,73","0,83","0,84","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7135_88614aa9,12100052,"23,00","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7136_30df4b00,12100053,"28,00","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7137_1a14dedb,12100054,"0,97","0,79","0,79","0,89","0,90","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7138_3bd44376,12100060,"9,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7139_c9c188a1,12100061,"9,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7140_e0acb5e0,12100062,"28,16","0,80","0,80","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7141_f22692d2,12100063,"29,04","0,80","0,80","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7142_5feb9ca8,12100081,"0,00","0,75","0,75","0,85","0,86","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7143_6b267209,12100083,"0,00","0,75","0,75","0,85","0,86","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7144_18404de3,12100086,"0,00","0,75","0,75","0,85","0,86","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7145_a43dd3d1,12100088,"0,00","0,75","0,75","0,85","0,86","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7146_f5f6d91e,12100090,"0,00","0,75","0,75","0,85","0,86","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7147_0453cbf6,12100091,"0,00","0,75","0,75","0,85","0,86","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7148_dff2072d,12100096,"0,00","0,75","0,75","0,85","0,86","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7149_542bb977,12100098,"0,00","0,75","0,75","0,85","0,86","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7150_dba1a5ca,12100101,"0,00","0,75","0,75","0,85","0,86","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7151_fed2bab4,12110001,"2,02","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7152_e695b8f7,12110002,"1,98","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7153_9551c596,12110003,"1,59","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7154_59ef3dd4,12110004,"1,15","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7155_f78c752d,12110005,"0,68","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7156_c31b2383,12110006,"1,02","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7157_42ae2ba3,12110007,"1,17","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7158_fb7e83a3,12110010,"1,26","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7159_b0a4ae81,12110012,"2,17","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7160_c708aa65,12110013,"3,42","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7161_64cb642a,12110014,"3,67","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7162_d14546c0,12110019,"16,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7163_2e5dd563,12110021,"24,87","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7164_863d032a,12110022,"23,84","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7165_f659a199,12110024,"29,90","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7166_ab692bef,12110025,"35,67","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7167_dda4f312,12110026,"40,83","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7168_410477d9,12110028,"44,28","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7169_dc049956,12110032,"66,92","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
